word,Handwritten (Deluxe),word,Illuminate (Deluxe),word,Nine Track Mind (Deluxe),word,Shawn Mendes,word,Voicenotes
moth,1,prove,0,together,1,wrapping,0,pass,0
permission,0,provoking,0,forever,1,yet,0,problems,0
ruin,0,red-eye,0,fight,1,possibly,0,sad,0
rough,0,past,0,felt,1,yesterday,0,regrets,0
round,0,plane,0,fake,1,posted,0,past,0
recognize,0,pulling,0,forgiveness,1,weight,0,patience,0
planned,0,plan,0,fading,1,pouring,0,piece,0
recklessness,0,parted,0,feet,1,power,0,reeling,0
rivers,0,particular,0,flash,1,pray,0,reel,0
playin,0,punched,0,stay,1,praying,0,pictures,0
plane,0,red,0,fuck,1,weeks,0,red-eye,0
plans,0,party,0,streets,1,yell,0,picture,0
pickin,0,recognize,0,friends,1,weather,0,red,0
road,0,push,0,star,1,wearing,0,recognize,0
real,0,pass,0,faces,1,prepared,0,reciprocate,0
ready,0,pile,0,face,1,pressure,0,reassure,0
rose,0,recklessness,0,feeling,1,wear,0,reason,0
pick,0,'90s,0,free,1,weak,0,particular,0
photographs,0,someday,0,forward,1,pretending,0,soul,0
picture,0,ruined,0,sun,1,win,0,safe,0
person,0,uncomfortable,0,suns,1,posse,0,tough,0
pile,0,timeline,0,forgetting,1,posing,0,throttle,0
rain,0,today,0,stride,1,young,0,thunder,0
reassure,0,together,0,stroll,1,piece,0,tickets,0
rather,0,told,0,strong,1,permanent,0,tie,0
reciprocate,0,tomorrow,0,exactly,1,permission,0,tied,0
places,0,top,0,foolish,1,person,0,tightrope,0
reaching,0,touch,0,studs,1,wild,0,till,0
rainbows,0,touched,0,followed,1,photographs,0,timeline,0
rate,0,tough,0,figured,1,pick,0,tired,0
reject,0,tower,0,story,1,picture,0,top,0
playing,0,town,0,stray,1,pictures,0,touch,0
prove,0,track,0,stop,1,pile,0,touched,0
puppet,0,trapped,0,forget,1,popular,0,tower,0
pulls,0,traveling,0,funny,1,whole,0,type,0
